,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dikson,100,RU,1563156132,94,73.51,80.55,42.21,14.61
1,Mar del Plata,41,AR,1563156134,76,-46.43,-67.52,38.97,12.82
2,Cabo San Lucas,20,MX,1563155864,66,22.89,-109.91,96.8,21.92
3,Rizon,0,GR,1563156137,63,40.73,22.14,66.0,10.29
4,Bluff,100,AU,1563156139,34,-23.58,149.07,63.09,3.38
5,Pevek,100,RU,1563156140,97,69.7,170.27,33.93,15.99
6,Kuytun,100,RU,1563156142,96,54.34,101.51,57.33,6.93
7,Hermanus,0,ZA,1563156144,87,-34.42,19.24,52.0,3.0
8,Kedrovyy,40,RU,1563156145,82,56.17,91.82,57.2,6.71
9,Vaini,40,IN,1563156147,100,15.34,74.49,69.8,4.7
10,Albany,1,US,1563156004,77,42.65,-73.75,75.2,5.82
11,Cape Town,75,ZA,1563155882,93,-33.93,18.42,54.0,8.05
12,Komsomolskiy,100,RU,1563156152,93,67.55,63.78,48.33,15.68
13,Punta Arenas,90,CL,1563156154,93,-53.16,-70.91,35.6,5.82
14,Torbay,90,CA,1563156155,100,47.66,-52.73,51.01,10.29
15,Chuy,7,UY,1563156157,89,-33.69,-53.46,46.17,4.18
16,Rome,0,IT,1563156020,60,41.89,12.48,75.99,6.93
17,Genhe,0,CN,1563156160,40,50.78,121.52,76.41,5.79
18,Kommunisticheskiy,44,RU,1563156162,68,61.68,64.48,74.61,6.96
19,Busselton,0,AU,1563156164,49,-33.64,115.35,57.99,20.42
20,Hobart,75,AU,1563156004,57,-42.88,147.33,53.01,16.11
21,Paamiut,0,GL,1563156167,89,61.99,-49.67,42.21,2.93
22,Kedougou,3,SN,1563156169,95,12.56,-12.19,74.25,7.09
23,Mataura,53,NZ,1563156170,80,-46.19,168.86,46.99,3.0
24,Marawi,100,PH,1563156172,70,8.0,124.29,84.0,3.0
25,Ushuaia,0,AR,1563156174,94,-54.81,-68.31,37.4,3.36
26,Naze,100,NG,1563156175,93,5.43,7.07,74.25,5.17
27,Pangkalanbuun,74,ID,1563156177,61,-2.68,111.62,83.25,4.88
28,Bullhead City,1,US,1563156060,8,35.15,-114.57,114.8,11.41
29,Jamestown,90,AU,1563156180,77,-33.21,138.6,52.29,7.09
30,Vardo,1,US,1563156182,61,39.62,-77.74,84.2,4.32
31,Pisco,0,PE,1563156184,77,-13.71,-76.2,60.8,10.29
32,Benguela,42,AO,1563156185,86,-12.58,13.4,68.49,4.68
33,Leshukonskoye,1,RU,1563156187,58,64.9,45.76,59.49,1.32
34,Magadan,97,RU,1563156189,94,59.56,150.8,49.41,14.0
35,Lubumbashi,0,CD,1563156190,60,-11.66,27.48,52.65,7.16
36,Bushehr,0,IR,1563156192,66,28.97,50.84,86.0,6.93
37,Rikitea,64,PF,1563156194,86,-23.12,-134.97,74.61,13.65
38,Hilo,75,US,1563156195,58,19.71,-155.08,84.2,11.41
